timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733347259984,6,Delete character,200,OK,Thread Group 1000 1-6,text,true,,249,216,82,82,http://localhost:3001/character/4,6,0,0
1733347259980,11,Create character,200,OK,Thread Group 1000 1-27,text,true,,235,242,82,82,http://localhost:3001/character,11,0,0
1733347259903,89,Get characters,200,OK,Thread Group 1000 1-7,text,true,,327,129,83,83,http://localhost:3001/characters,89,0,0
1733347259988,7,Delete character,200,OK,Thread Group 1000 1-1,text,true,,249,216,85,85,http://localhost:3001/character/4,7,0,0
1733347259989,6,Modify character,200,OK,Thread Group 1000 1-19,text,true,,235,241,86,86,http://localhost:3001/character/4,6,0,0
1733347259991,5,Get character by id,200,OK,Thread Group 1000 1-27,text,true,,235,130,86,86,http://localhost:3001/character/4,5,0,0
1733347259986,12,Create character,200,OK,Thread Group 1000 1-29,text,true,,235,242,87,87,http://localhost:3001/character,12,0,0
1733347259992,8,Create character,200,OK,Thread Group 1000 1-7,text,true,,235,242,89,89,http://localhost:3001/character,8,0,0
1733347259995,6,Delete character,200,OK,Thread Group 1000 1-19,text,true,,249,216,90,90,http://localhost:3001/character/4,6,0,0
1733347259903,99,Get characters,200,OK,Thread Group 1000 1-8,text,true,,327,129,90,90,http://localhost:3001/characters,99,0,0
1733347259998,5,Get character by id,200,OK,Thread Group 1000 1-29,text,true,,235,130,90,90,http://localhost:3001/character/4,5,0,0
1733347259997,7,Modify character,200,OK,Thread Group 1000 1-27,text,true,,235,241,91,91,http://localhost:3001/character/4,7,0,0
1733347259904,101,Get characters,200,OK,Thread Group 1000 1-11,text,true,,327,129,92,92,http://localhost:3001/characters,101,0,0
1733347260000,6,Get character by id,200,OK,Thread Group 1000 1-7,text,true,,235,130,92,92,http://localhost:3001/character/4,6,0,0
1733347259904,102,Get characters,200,OK,Thread Group 1000 1-22,text,true,,327,129,92,92,http://localhost:3001/characters,102,0,0
1733347260003,4,Create character,200,OK,Thread Group 1000 1-8,text,true,,235,242,93,93,http://localhost:3001/character,4,0,0
1733347259904,103,Get characters,200,OK,Thread Group 1000 1-34,text,true,,330,129,93,93,http://localhost:3001/characters,103,0,0
1733347260006,2,Modify character,200,OK,Thread Group 1000 1-7,text,true,,235,241,93,93,http://localhost:3001/character/4,2,0,0
1733347260004,6,Delete character,200,OK,Thread Group 1000 1-27,text,true,,249,216,94,94,http://localhost:3001/character/4,6,0,0
1733347260003,8,Modify character,200,OK,Thread Group 1000 1-29,text,true,,235,241,94,94,http://localhost:3001/character/4,8,0,0
1733347260006,6,Create character,200,OK,Thread Group 1000 1-11,text,true,,235,242,95,95,http://localhost:3001/character,6,0,0
1733347259906,108,Get characters,200,OK,Thread Group 1000 1-33,text,true,,333,129,97,97,http://localhost:3001/characters,108,0,0
1733347260006,9,Create character,200,OK,Thread Group 1000 1-22,text,true,,235,242,98,98,http://localhost:3001/character,9,0,0
1733347260008,8,Delete character,200,OK,Thread Group 1000 1-7,text,true,,249,216,98,98,http://localhost:3001/character/4,8,0,0
1733347260008,12,Create character,200,OK,Thread Group 1000 1-34,text,true,,235,242,99,99,http://localhost:3001/character,12,0,0
1733347259906,113,Get characters,200,OK,Thread Group 1000 1-10,text,true,,330,129,99,99,http://localhost:3001/characters,113,0,0
1733347260012,8,Get character by id,200,OK,Thread Group 1000 1-11,text,true,,235,130,99,99,http://localhost:3001/character/4,8,0,0
1733347260007,13,Get character by id,200,OK,Thread Group 1000 1-8,text,true,,235,130,99,99,http://localhost:3001/character/4,13,0,0
1733347260011,10,Delete character,200,OK,Thread Group 1000 1-29,text,true,,249,216,100,100,http://localhost:3001/character/4,10,0,0
1733347260016,7,Get character by id,200,OK,Thread Group 1000 1-22,text,true,,235,130,101,101,http://localhost:3001/character/4,7,0,0
1733347260015,9,Create character,200,OK,Thread Group 1000 1-33,text,true,,235,242,102,102,http://localhost:3001/character,9,0,0
1733347260020,5,Create character,200,OK,Thread Group 1000 1-10,text,true,,235,242,102,102,http://localhost:3001/character,5,0,0
1733347260020,6,Modify character,200,OK,Thread Group 1000 1-8,text,true,,235,241,104,104,http://localhost:3001/character/4,6,0,0
1733347259908,120,Get characters,200,OK,Thread Group 1000 1-36,text,true,,337,129,106,106,http://localhost:3001/characters,120,0,0
1733347259907,121,Get characters,200,OK,Thread Group 1000 1-32,text,true,,333,129,106,106,http://localhost:3001/characters,121,0,0
1733347260025,5,Get character by id,200,OK,Thread Group 1000 1-10,text,true,,235,130,107,107,http://localhost:3001/character/4,5,0,0
1733347260021,9,Modify character,200,OK,Thread Group 1000 1-11,text,true,,235,241,108,108,http://localhost:3001/character/4,9,0,0
1733347260023,8,Get character by id,200,OK,Thread Group 1000 1-34,text,true,,235,130,110,110,http://localhost:3001/character/4,8,0,0
1733347260026,6,Delete character,200,OK,Thread Group 1000 1-8,text,true,,249,216,110,110,http://localhost:3001/character/4,6,0,0
1733347260023,10,Modify character,200,OK,Thread Group 1000 1-22,text,true,,235,241,110,110,http://localhost:3001/character/4,10,0,0
1733347260030,4,Modify character,200,OK,Thread Group 1000 1-10,text,true,,235,241,111,111,http://localhost:3001/character/4,4,0,0
1733347259910,125,Get characters,200,OK,Thread Group 1000 1-23,text,true,,333,129,111,111,http://localhost:3001/characters,125,0,0
1733347260024,11,Get character by id,200,OK,Thread Group 1000 1-33,text,true,,235,130,111,111,http://localhost:3001/character/4,10,0,0
1733347260031,5,Modify character,200,OK,Thread Group 1000 1-34,text,true,,235,241,111,111,http://localhost:3001/character/4,5,0,0
1733347260028,9,Create character,200,OK,Thread Group 1000 1-36,text,true,,235,242,111,111,http://localhost:3001/character,9,0,0
1733347260028,10,Create character,200,OK,Thread Group 1000 1-32,text,true,,235,242,112,112,http://localhost:3001/character,10,0,0
1733347260030,10,Delete character,200,OK,Thread Group 1000 1-11,text,true,,249,216,114,114,http://localhost:3001/character/4,10,0,0
1733347260035,7,Delete character,200,OK,Thread Group 1000 1-10,text,true,,249,216,115,115,http://localhost:3001/character/4,7,0,0
1733347259911,131,Get characters,200,OK,Thread Group 1000 1-30,text,true,,337,129,115,115,http://localhost:3001/characters,131,0,0
1733347260037,7,Get character by id,200,OK,Thread Group 1000 1-36,text,true,,235,130,117,117,http://localhost:3001/character/4,7,0,0
1733347260036,9,Delete character,200,OK,Thread Group 1000 1-34,text,true,,249,216,118,118,http://localhost:3001/character/4,9,0,0
1733347260035,13,Delete character,200,OK,Thread Group 1000 1-22,text,true,,249,216,119,119,http://localhost:3001/character/4,13,0,0
1733347260035,15,Create character,200,OK,Thread Group 1000 1-23,text,true,,235,242,120,120,http://localhost:3001/character,15,0,0
1733347260035,17,Modify character,200,OK,Thread Group 1000 1-33,text,true,,235,241,120,120,http://localhost:3001/character/4,17,0,0
1733347260044,9,Modify character,200,OK,Thread Group 1000 1-36,text,true,,235,241,120,120,http://localhost:3001/character/4,9,0,0
1733347260038,16,Get character by id,200,OK,Thread Group 1000 1-32,text,true,,235,130,121,121,http://localhost:3001/character/4,16,0,0
1733347259913,142,Get characters,200,OK,Thread Group 1000 1-35,text,true,,333,129,121,121,http://localhost:3001/characters,142,0,0
1733347259912,144,Get characters,200,OK,Thread Group 1000 1-31,text,true,,330,129,121,121,http://localhost:3001/characters,144,0,2
1733347259911,146,Get characters,200,OK,Thread Group 1000 1-28,text,true,,330,129,122,122,http://localhost:3001/characters,146,0,0
1733347260042,15,Create character,200,OK,Thread Group 1000 1-30,text,true,,235,242,122,122,http://localhost:3001/character,15,0,0
1733347260050,9,Get character by id,200,OK,Thread Group 1000 1-23,text,true,,235,130,122,122,http://localhost:3001/character/4,9,0,0
1733347260054,6,Modify character,200,OK,Thread Group 1000 1-32,text,true,,235,241,123,123,http://localhost:3001/character/4,6,0,0
1733347260052,8,Delete character,200,OK,Thread Group 1000 1-33,text,true,,249,216,123,123,http://localhost:3001/character/4,8,0,0
1733347259915,148,Get characters,200,OK,Thread Group 1000 1-38,text,true,,330,129,124,124,http://localhost:3001/characters,148,0,0
1733347260056,8,Create character,200,OK,Thread Group 1000 1-31,text,true,,235,242,124,124,http://localhost:3001/character,8,0,0
1733347260053,12,Delete character,200,OK,Thread Group 1000 1-36,text,true,,249,216,124,124,http://localhost:3001/character/4,12,0,0
1733347260057,10,Create character,200,OK,Thread Group 1000 1-28,text,true,,235,242,125,125,http://localhost:3001/character,10,0,0
1733347260055,12,Create character,200,OK,Thread Group 1000 1-35,text,true,,235,242,125,125,http://localhost:3001/character,12,0,0
1733347259918,149,Get characters,200,OK,Thread Group 1000 1-37,text,true,,337,129,125,125,http://localhost:3001/characters,149,0,1
1733347260058,10,Get character by id,200,OK,Thread Group 1000 1-30,text,true,,235,130,125,125,http://localhost:3001/character/4,10,0,0
1733347260060,9,Delete character,200,OK,Thread Group 1000 1-32,text,true,,249,216,126,126,http://localhost:3001/character/4,9,0,0
1733347260059,13,Modify character,200,OK,Thread Group 1000 1-23,text,true,,235,241,126,126,http://localhost:3001/character/4,13,0,0
